,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
65,Mika Biereth,dk DEN,FW,Monaco,Ligue 1,22-013,2003,5,5,414,4.6,7,0,7,6,1,1,0,0,4.3,3.5,1.0,4.5,2,9,47,1.52,0.00,1.52,1.30,1.30,0.94,0.21,1.15,0.77,0.98
66,Emmanuel Biumla,fr FRA,DF,Angers,Ligue 1,19-289,2005,15,14,"1,228",13.6,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.8,3,14,0,0.07,0.00,0.07,0.07,0.07,0.05,0.00,0.06,0.05,0.06
67,Marco Bizot,nl NED,GK,Brest,Ligue 1,33-348,1991,21,21,"1,890",21.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,Ludovic Blas,fr FRA,"MF,FW",Rennes,Ligue 1,27-052,1997,22,21,"1,832",20.4,6,6,12,6,0,0,5,0,4.6,4.6,3.2,7.8,61,89,151,0.29,0.29,0.59,0.29,0.59,0.23,0.16,0.38,0.23,0.38
69,Augustine Boakye,gh GHA,"FW,MF",Saint-Étienne,Ligue 1,24-110,2000,15,8,704,7.8,3,0,3,3,0,0,5,0,1.5,1.5,0.7,2.3,25,32,52,0.38,0.00,0.38,0.38,0.38,0.20,0.09,0.29,0.20,0.29
70,Mathéo Bodmer,fr FRA,MF,Le Havre,Ligue 1,20-291,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,Jeremie Boga,ci CIV,"MF,FW",Nice,Ligue 1,28-049,1997,12,8,632,7.0,0,2,2,0,0,0,0,0,1.3,1.3,2.2,3.4,37,17,46,0.00,0.28,0.28,0.00,0.28,0.18,0.31,0.49,0.18,0.49
72,Moïse Bombito,ca CAN,DF,Nice,Ligue 1,24-328,2000,17,15,"1,372",15.2,0,0,0,0,0,0,2,1,0.6,0.6,0.0,0.6,16,55,4,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
73,Saïmon Bouabré,fr FRA,"MF,FW",Monaco,Ligue 1,18-265,2006,2,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
74,Ayyoub Bouaddi,fr FRA,MF,Lille,Ligue 1,17-142,2007,17,8,815,9.1,0,1,1,0,0,0,1,0,0.0,0.0,1.0,1.0,7,27,15,0.00,0.11,0.11,0.00,0.11,0.00,0.11,0.11,0.00,0.11
